Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	streamId	rnti	tbSize	mcs	rv	SINR(dB)	CQI	corrupt	TBler
0.403929	DL	40	3	0	1	12	1	0	0	1	416	0	0	37.5176	15	0	0
0.404929	DL	40	4	0	1	12	1	0	0	1	416	0	0	37.8309	15	0	0
0.405929	DL	40	5	0	1	12	1	0	0	1	416	0	0	38.1003	15	0	0
0.406929	DL	40	6	0	1	12	1	0	0	1	416	0	0	38.3105	15	0	0
0.407929	DL	40	7	0	1	12	1	0	0	1	416	0	0	38.4303	15	0	0
0.408929	DL	40	8	0	1	12	1	0	0	1	416	0	0	38.4363	15	0	0
0.409929	DL	40	9	0	1	12	1	0	0	1	12976	27	0	35.3208	15	0	0
0.409929	DL	40	9	0	1	12	1	0	1	1	416	0	0	53.0787	15	0	0
0.410929	DL	41	0	0	1	12	1	0	0	1	12976	27	0	35.1314	15	0	0
0.410929	DL	41	0	0	1	12	1	0	1	1	416	0	0	53.0841	15	0	0
0.411929	DL	41	1	0	1	12	1	0	0	1	12976	27	0	34.887	15	0	0.0167688
0.411929	DL	41	1	0	1	12	1	0	1	1	416	0	0	53.0766	15	0	0
0.412929	DL	41	2	0	1	12	1	0	0	1	12976	27	0	34.5936	14	1	0.999981
0.412929	DL	41	2	0	1	12	1	0	1	1	416	0	0	53.0553	15	0	0
0.413929	DL	41	3	0	1	12	1	0	0	1	12976	27	0	34.2375	14	1	1
0.413929	DL	41	3	0	1	12	1	0	1	1	416	0	0	53.0236	15	0	0
0.414929	DL	41	4	0	1	12	1	0	0	1	12976	27	0	33.817	14	1	1
0.414929	DL	41	4	0	1	12	1	0	1	1	416	0	0	52.9888	15	0	0
0.415929	DL	41	5	0	1	12	1	0	0	1	12976	27	0	40.7228	15	0	0
0.415929	DL	41	5	0	1	12	1	0	1	1	12976	27	0	41.1096	15	0	0
0.416929	DL	41	6	0	1	12	1	0	0	1	12976	27	0	40.8792	15	0	0
0.416929	DL	41	6	0	1	12	1	0	1	1	12976	27	0	41.341	15	0	0
0.417929	DL	41	7	0	1	12	1	0	0	1	12976	27	1	43.4466	15	0	0
0.418929	DL	41	8	0	1	12	1	0	0	1	12976	27	1	43.4463	15	0	0
0.419929	DL	41	9	0	1	12	1	0	0	1	12976	27	1	43.8679	15	0	0
0.420929	DL	42	0	0	1	12	1	0	0	1	12000	25	0	40.6817	15	0	0
0.420929	DL	42	0	0	1	12	1	0	1	1	12976	27	0	41.18	15	0	0
0.421929	DL	42	1	0	1	12	1	0	0	1	12976	27	0	40.2208	15	0	0
0.421929	DL	42	1	0	1	12	1	0	1	1	12976	27	0	40.7658	15	0	0
0.422929	DL	42	2	0	1	12	1	0	0	1	12976	27	0	40.5058	15	0	0
0.422929	DL	42	2	0	1	12	1	0	1	1	12976	27	0	40.7641	15	0	0
0.423929	DL	42	3	0	1	12	1	0	0	1	12976	27	0	40.8691	15	0	0
0.423929	DL	42	3	0	1	12	1	0	1	1	12976	27	0	41.1288	15	0	0
0.424929	DL	42	4	0	1	12	1	0	0	1	12976	27	0	40.4867	15	0	0
0.424929	DL	42	4	0	1	12	1	0	1	1	12976	27	0	40.9803	15	0	0
0.425929	DL	42	5	0	1	12	1	0	0	1	12976	27	0	40.1366	15	0	0
0.425929	DL	42	5	0	1	12	1	0	1	1	12976	27	0	40.6071	15	0	0
0.426929	DL	42	6	0	1	12	1	0	0	1	12976	27	0	40.5853	15	0	0
0.426929	DL	42	6	0	1	12	1	0	1	1	12976	27	0	40.8544	15	0	0
0.427929	DL	42	7	0	1	12	1	0	0	1	12976	27	0	40.8059	15	0	0
0.427929	DL	42	7	0	1	12	1	0	1	1	12976	27	0	41.1322	15	0	0
0.428929	DL	42	8	0	1	12	1	0	0	1	12976	27	0	40.3629	15	0	0
0.428929	DL	42	8	0	1	12	1	0	1	1	12976	27	0	40.764	15	0	0
0.429929	DL	42	9	0	1	12	1	0	0	1	12976	27	0	40.2408	15	0	0
0.429929	DL	42	9	0	1	12	1	0	1	1	12976	27	0	40.4723	15	0	0
0.430929	DL	43	0	0	1	12	1	0	0	1	12976	27	0	40.6435	15	0	0
0.430929	DL	43	0	0	1	12	1	0	1	1	12976	27	0	40.8913	15	0	0
0.431929	DL	43	1	0	1	12	1	0	0	1	12976	27	0	40.5425	15	0	0
0.431929	DL	43	1	0	1	12	1	0	1	1	12976	27	0	41.0835	15	0	0
0.432929	DL	43	2	0	1	12	1	0	0	1	12976	27	0	40.0732	15	0	0
0.432929	DL	43	2	0	1	12	1	0	1	1	12976	27	0	40.669	15	0	0
0.433929	DL	43	3	0	1	12	1	0	0	1	12976	27	0	40.296	15	0	0
0.433929	DL	43	3	0	1	12	1	0	1	1	12976	27	0	40.5415	15	0	0
0.434929	DL	43	4	0	1	12	1	0	0	1	12976	27	0	40.7179	15	0	0
0.434929	DL	43	4	0	1	12	1	0	1	1	12976	27	0	40.9056	15	0	0
0.435929	DL	43	5	0	1	12	1	0	0	1	12976	27	0	40.4198	15	0	0
0.435929	DL	43	5	0	1	12	1	0	1	1	12976	27	0	40.8501	15	0	0
0.436929	DL	43	6	0	1	12	1	0	0	1	12976	27	0	40.0169	15	0	0
0.436929	DL	43	6	0	1	12	1	0	1	1	12976	27	0	40.4771	15	0	0
0.437929	DL	43	7	0	1	12	1	0	0	1	12976	27	0	40.3778	15	0	0
0.437929	DL	43	7	0	1	12	1	0	1	1	12976	27	0	40.6738	15	0	0
0.438929	DL	43	8	0	1	12	1	0	0	1	12976	27	0	40.6126	15	0	0
0.438929	DL	43	8	0	1	12	1	0	1	1	12976	27	0	41.0142	15	0	0
0.439929	DL	43	9	0	1	12	1	0	0	1	12976	27	0	40.1585	15	0	0
0.439929	DL	43	9	0	1	12	1	0	1	1	12976	27	0	40.7195	15	0	0
0.440929	DL	44	0	0	1	12	1	0	0	1	12976	27	0	39.9602	15	0	0
