Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	streamId	rnti	tbSize	mcs	rv	SINR(dB)	CQI	corrupt	TBler
0.403929	DL	40	3	0	1	12	1	0	0	1	416	0	0	61.1027	15	0	0
0.404929	DL	40	4	0	1	12	1	0	0	1	416	0	0	61.0601	15	0	0
0.405929	DL	40	5	0	1	12	1	0	0	1	416	0	0	60.961	15	0	0
0.406929	DL	40	6	0	1	12	1	0	0	1	416	0	0	60.804	15	0	0
0.407929	DL	40	7	0	1	12	1	0	0	1	416	0	0	60.5859	15	0	0
0.408929	DL	40	8	0	1	12	1	0	0	1	416	0	0	60.3025	15	0	0
0.409929	DL	40	9	0	1	12	1	0	0	1	12976	27	0	56.9389	15	0	0
0.409929	DL	40	9	0	1	12	1	0	1	1	416	0	0	43.9468	15	0	0
0.410929	DL	41	0	0	1	12	1	0	0	1	12976	27	0	56.5122	15	0	0
0.410929	DL	41	0	0	1	12	1	0	1	1	416	0	0	43.9927	15	0	0
0.411929	DL	41	1	0	1	12	1	0	0	1	12976	27	0	56.0106	15	0	0
0.411929	DL	41	1	0	1	12	1	0	1	1	416	0	0	45.7559	15	0	0
0.412929	DL	41	2	0	1	12	1	0	0	1	12976	27	0	55.4377	15	0	0
0.412929	DL	41	2	0	1	12	1	0	1	1	416	0	0	47.3968	15	0	0
0.413929	DL	41	3	0	1	12	1	0	0	1	12976	27	0	54.8071	15	0	0
0.413929	DL	41	3	0	1	12	1	0	1	1	416	0	0	48.2091	15	0	0
0.414929	DL	41	4	0	1	12	1	0	0	1	12976	27	0	54.1478	15	0	0
0.414929	DL	41	4	0	1	12	1	0	1	1	416	0	0	48.0958	15	0	0
0.415929	DL	41	5	0	1	12	1	0	0	1	12976	27	0	46.0135	15	0	0
0.415929	DL	41	5	0	1	12	1	0	1	1	12976	27	0	46.0052	15	0	0
0.416929	DL	41	6	0	1	12	1	0	0	1	12976	27	0	46.2746	15	0	0
0.416929	DL	41	6	0	1	12	1	0	1	1	12976	27	0	46.1242	15	0	0
0.417929	DL	41	7	0	1	12	1	0	0	1	12976	27	0	46.7054	15	0	0
0.417929	DL	41	7	0	1	12	1	0	1	1	12976	27	0	46.1817	15	0	0
0.418929	DL	41	8	0	1	12	1	0	0	1	12976	27	0	46.9789	15	0	0
0.418929	DL	41	8	0	1	12	1	0	1	1	12976	27	0	46.2006	15	0	0
0.419929	DL	41	9	0	1	12	1	0	0	1	12976	27	0	46.9223	15	0	0
0.419929	DL	41	9	0	1	12	1	0	1	1	12976	27	0	46.2595	15	0	0
0.420929	DL	42	0	0	1	12	1	0	0	1	12976	27	0	46.585	15	0	0
0.420929	DL	42	0	0	1	12	1	0	1	1	12976	27	0	46.368	15	0	0
0.421929	DL	42	1	0	1	12	1	0	0	1	12976	27	0	46.2055	15	0	0
0.421929	DL	42	1	0	1	12	1	0	1	1	12976	27	0	46.4337	15	0	0
0.422929	DL	42	2	0	1	12	1	0	0	1	12976	27	0	46.0688	15	0	0
0.422929	DL	42	2	0	1	12	1	0	1	1	12976	27	0	46.3593	15	0	0
0.423929	DL	42	3	0	1	12	1	0	0	1	12976	27	0	46.2483	15	0	0
0.423929	DL	42	3	0	1	12	1	0	1	1	12976	27	0	46.1464	15	0	0
0.424929	DL	42	4	0	1	12	1	0	0	1	12976	27	0	46.5514	15	0	0
0.424929	DL	42	4	0	1	12	1	0	1	1	12976	27	0	45.9145	15	0	0
0.425929	DL	42	5	0	1	12	1	0	0	1	12976	27	0	46.7489	15	0	0
0.425929	DL	42	5	0	1	12	1	0	1	1	12976	27	0	45.8207	15	0	0
0.426929	DL	42	6	0	1	12	1	0	0	1	12976	27	0	46.7433	15	0	0
0.426929	DL	42	6	0	1	12	1	0	1	1	12976	27	0	45.9231	15	0	0
0.427929	DL	42	7	0	1	12	1	0	0	1	12976	27	0	46.5893	15	0	0
0.427929	DL	42	7	0	1	12	1	0	1	1	12976	27	0	46.1363	15	0	0
0.428929	DL	42	8	0	1	12	1	0	0	1	12976	27	0	46.4494	15	0	0
0.428929	DL	42	8	0	1	12	1	0	1	1	12976	27	0	46.3268	15	0	0
0.429929	DL	42	9	0	1	12	1	0	0	1	12976	27	0	46.4689	15	0	0
0.429929	DL	42	9	0	1	12	1	0	1	1	12976	27	0	46.4114	15	0	0
0.430929	DL	43	0	0	1	12	1	0	0	1	12976	27	0	46.6218	15	0	0
0.430929	DL	43	0	0	1	12	1	0	1	1	12976	27	0	46.3849	15	0	0
0.431929	DL	43	1	0	1	12	1	0	0	1	12976	27	0	46.7246	15	0	0
0.431929	DL	43	1	0	1	12	1	0	1	1	12976	27	0	46.3035	15	0	0
0.432929	DL	43	2	0	1	12	1	0	0	1	12976	27	0	46.6081	15	0	0
0.432929	DL	43	2	0	1	12	1	0	1	1	12976	27	0	46.2447	15	0	0
0.433929	DL	43	3	0	1	12	1	0	0	1	12976	27	0	46.2575	15	0	0
0.433929	DL	43	3	0	1	12	1	0	1	1	12976	27	0	46.2441	15	0	0
0.434929	DL	43	4	0	1	12	1	0	0	1	12976	27	0	45.8665	15	0	0
0.434929	DL	43	4	0	1	12	1	0	1	1	12976	27	0	46.2576	15	0	0
0.435929	DL	43	5	0	1	12	1	0	0	1	12976	27	0	45.7454	15	0	0
0.435929	DL	43	5	0	1	12	1	0	1	1	12976	27	0	46.1993	15	0	0
0.436929	DL	43	6	0	1	12	1	0	0	1	12976	27	0	46.0069	15	0	0
0.436929	DL	43	6	0	1	12	1	0	1	1	12976	27	0	46.0308	15	0	0
0.437929	DL	43	7	0	1	12	1	0	0	1	12976	27	0	46.4188	15	0	0
0.437929	DL	43	7	0	1	12	1	0	1	1	12976	27	0	45.8291	15	0	0
0.438929	DL	43	8	0	1	12	1	0	0	1	12976	27	0	46.6857	15	0	0
0.438929	DL	43	8	0	1	12	1	0	1	1	12976	27	0	45.7588	15	0	0
0.439929	DL	43	9	0	1	12	1	0	0	1	12976	27	0	46.6871	15	0	0
0.439929	DL	43	9	0	1	12	1	0	1	1	12976	27	0	45.9101	15	0	0
0.440929	DL	44	0	0	1	12	1	0	0	1	12976	27	0	46.4937	15	0	0
0.440929	DL	44	0	0	1	12	1	0	1	1	12976	27	0	46.1694	15	0	0
0.441929	DL	44	1	0	1	12	1	0	0	1	12976	27	0	46.2864	15	0	0
0.441929	DL	44	1	0	1	12	1	0	1	1	12976	27	0	46.3254	15	0	0
0.442929	DL	44	2	0	1	12	1	0	0	1	12976	27	0	46.2137	15	0	0
0.442929	DL	44	2	0	1	12	1	0	1	1	12976	27	0	46.2537	15	0	0
0.443929	DL	44	3	0	1	12	1	0	0	1	12976	27	0	46.268	15	0	0
0.443929	DL	44	3	0	1	12	1	0	1	1	12976	27	0	45.9937	15	0	0
0.444929	DL	44	4	0	1	12	1	0	0	1	12976	27	0	46.3287	15	0	0
0.444929	DL	44	4	0	1	12	1	0	1	1	12976	27	0	45.7205	15	0	0
0.445929	DL	44	5	0	1	12	1	0	0	1	12976	27	0	46.299	15	0	0
0.445929	DL	44	5	0	1	12	1	0	1	1	12976	27	0	45.6182	15	0	0
0.446929	DL	44	6	0	1	12	1	0	0	1	12976	27	0	46.1806	15	0	0
0.446929	DL	44	6	0	1	12	1	0	1	1	12976	27	0	45.7173	15	0	0
0.447929	DL	44	7	0	1	12	1	0	0	1	12976	27	0	46.0661	15	0	0
0.447929	DL	44	7	0	1	12	1	0	1	1	12976	27	0	45.8911	15	0	0
0.448929	DL	44	8	0	1	12	1	0	0	1	12976	27	0	46.0687	15	0	0
0.448929	DL	44	8	0	1	12	1	0	1	1	12976	27	0	45.9958	15	0	0.0167688
0.449929	DL	44	9	0	1	12	1	0	0	1	12976	27	0	46.2109	15	0	0
0.449929	DL	44	9	0	1	12	1	0	1	1	12976	27	0	45.965	15	0	0
0.450929	DL	45	0	0	1	12	1	0	0	1	12976	27	0	46.3754	15	0	0
0.450929	DL	45	0	0	1	12	1	0	1	1	12976	27	0	45.8252	15	0	0
0.451929	DL	45	1	0	1	12	1	0	0	1	12976	27	0	46.3919	15	0	0
0.451929	DL	45	1	0	1	12	1	0	1	1	12976	27	0	45.6804	15	0	0
0.452929	DL	45	2	0	1	12	1	0	0	1	12976	27	0	46.1697	15	0	0
0.452929	DL	45	2	0	1	12	1	0	1	1	12976	27	0	45.6503	15	0	0
0.453929	DL	45	3	0	1	12	1	0	0	1	12976	27	0	45.7841	15	0	0
0.453929	DL	45	3	0	1	12	1	0	1	1	12976	27	0	45.7518	15	0	0
0.454929	DL	45	4	0	1	12	1	0	0	1	12976	27	0	45.4742	15	0	0
0.454929	DL	45	4	0	1	12	1	0	1	1	12976	27	0	45.856	15	0	0
0.455929	DL	45	5	0	1	12	1	0	0	1	12976	27	0	45.4551	15	0	0
0.455929	DL	45	5	0	1	12	1	0	1	1	12976	27	0	45.8031	15	0	0
0.456929	DL	45	6	0	1	12	1	0	0	1	12976	27	0	45.6698	15	0	0
0.456929	DL	45	6	0	1	12	1	0	1	1	12976	27	0	45.5505	15	0	0
0.457929	DL	45	7	0	1	12	1	0	0	1	12976	27	0	45.8766	15	0	0
0.457929	DL	45	7	0	1	12	1	0	1	1	12976	27	0	45.236	15	0	0
0.458929	DL	45	8	0	1	12	1	0	0	1	12976	27	0	45.926	15	0	0
0.458929	DL	45	8	0	1	12	1	0	1	1	12976	27	0	45.098	15	0	0
0.459929	DL	45	9	0	1	12	1	0	0	1	12976	27	0	45.8564	15	0	0
0.459929	DL	45	9	0	1	12	1	0	1	1	12976	27	0	45.2356	15	0	0
0.460929	DL	46	0	0	1	12	1	0	0	1	12976	27	0	45.8103	15	0	0
0.460929	DL	46	0	0	1	12	1	0	1	1	12976	27	0	45.4936	15	1	0.309632
0.461857	DL	46	1	0	1	11	1	0	0	1	11895	27	0	45.8758	15	0	0
0.461857	DL	46	1	0	1	11	1	0	1	1	11895	27	0	45.6561	15	0	0
0.462929	DL	46	2	0	1	12	1	0	0	1	12976	27	0	45.9974	15	0	0
0.462929	DL	46	2	0	1	12	1	0	1	1	12976	27	0	45.6308	15	0	0
0.463929	DL	46	3	0	1	12	1	0	0	1	12976	27	0	46.0428	15	0	0
0.463929	DL	46	3	0	1	12	1	0	1	1	12976	27	0	45.4646	15	0	0.0167688
0.464929	DL	46	4	0	1	12	1	0	0	1	12976	27	0	45.9162	15	0	0
0.464929	DL	46	4	0	1	12	1	0	1	1	12976	27	0	45.28	15	0	0
0.465929	DL	46	5	0	1	12	1	0	0	1	12976	27	0	45.6212	15	0	0
0.465929	DL	46	5	0	1	12	1	0	1	1	12976	27	0	45.1899	15	0	0
0.466929	DL	46	6	0	1	12	1	0	0	1	12976	27	0	45.2869	15	0	0
0.466929	DL	46	6	0	1	12	1	0	1	1	12976	27	0	45.2245	15	0	0
0.467929	DL	46	7	0	1	12	1	0	0	1	12976	27	0	45.1336	15	0	0
0.467929	DL	46	7	0	1	12	1	0	1	1	12976	27	0	45.3179	15	0	0
0.468929	DL	46	8	0	1	12	1	0	0	1	12976	27	0	45.2917	15	0	0
0.468929	DL	46	8	0	1	12	1	0	1	1	12976	27	0	45.3642	15	0	0
0.469929	DL	46	9	0	1	12	1	0	0	1	12976	27	0	45.6323	15	0	0
0.469929	DL	46	9	0	1	12	1	0	1	1	12976	27	0	45.2971	15	0	0
0.470929	DL	47	0	0	1	12	1	0	0	1	12976	27	0	45.888	15	0	0
0.470929	DL	47	0	0	1	12	1	0	1	1	12976	27	0	45.1427	15	0	0
0.471929	DL	47	1	0	1	12	1	0	0	1	12976	27	0	45.8854	15	0	0
0.471929	DL	47	1	0	1	12	1	0	1	1	12976	27	0	45.0132	15	0	0
0.472929	DL	47	2	0	1	12	1	0	0	1	12976	27	0	45.6424	15	0	0.0167688
0.472929	DL	47	2	0	1	12	1	0	1	1	12976	27	0	45.0142	15	0	0
0.473929	DL	47	3	0	1	12	1	0	0	1	12976	27	0	45.3546	15	0	0
0.473929	DL	47	3	0	1	12	1	0	1	1	12976	27	0	45.1289	15	0	0
0.474929	DL	47	4	0	1	12	1	0	0	1	12976	27	0	45.2565	15	0	0
0.474929	DL	47	4	0	1	12	1	0	1	1	12976	27	0	45.2323	15	0	0
0.475929	DL	47	5	0	1	12	1	0	0	1	12976	27	0	45.3848	15	0	0
0.475929	DL	47	5	0	1	12	1	0	1	1	12976	27	0	45.2217	15	0	0
0.476929	DL	47	6	0	1	12	1	0	0	1	12976	27	0	45.5492	15	0	0
0.476929	DL	47	6	0	1	12	1	0	1	1	12976	27	0	45.1077	15	0	0
0.477929	DL	47	7	0	1	12	1	0	0	1	12976	27	0	45.5608	15	0	0.0167688
0.477929	DL	47	7	0	1	12	1	0	1	1	12976	27	0	44.9982	15	0	0
0.478929	DL	47	8	0	1	12	1	0	0	1	12976	27	0	45.3973	15	0	0
0.478929	DL	47	8	0	1	12	1	0	1	1	12976	27	0	44.992	15	0	0
0.479929	DL	47	9	0	1	12	1	0	0	1	12976	27	0	45.209	15	0	0
0.479929	DL	47	9	0	1	12	1	0	1	1	12976	27	0	45.076	15	0	0
0.480929	DL	48	0	0	1	12	1	0	0	1	12976	27	0	45.1955	15	0	0
0.480929	DL	48	0	0	1	12	1	0	1	1	12976	27	0	45.1525	15	0	0
0.481929	DL	48	1	0	1	12	1	0	0	1	12976	27	0	45.4027	15	0	0
0.481929	DL	48	1	0	1	12	1	0	1	1	12976	27	0	45.1526	15	0	0
0.482929	DL	48	2	0	1	12	1	0	0	1	12976	27	0	45.6716	15	0	0
0.482929	DL	48	2	0	1	12	1	0	1	1	12976	27	0	45.0942	15	0	0
0.483929	DL	48	3	0	1	12	1	0	0	1	12976	27	0	45.8008	15	0	0
0.483929	DL	48	3	0	1	12	1	0	1	1	12976	27	0	45.0462	15	0	0
0.484929	DL	48	4	0	1	12	1	0	0	1	12976	27	0	45.6896	15	0	0
0.484929	DL	48	4	0	1	12	1	0	1	1	12976	27	0	45.0525	15	0	0
0.485929	DL	48	5	0	1	12	1	0	0	1	12976	27	0	45.3787	15	0	0
0.485929	DL	48	5	0	1	12	1	0	1	1	12976	27	0	45.0951	15	0	0
0.486929	DL	48	6	0	1	12	1	0	0	1	12976	27	0	45.0462	15	0	0
0.486929	DL	48	6	0	1	12	1	0	1	1	12976	27	0	45.1281	15	0	0
0.487929	DL	48	7	0	1	12	1	0	0	1	12976	27	0	44.9235	15	0	0
0.487929	DL	48	7	0	1	12	1	0	1	1	12976	27	0	45.1219	15	0	0
0.488929	DL	48	8	0	1	12	1	0	0	1	12976	27	0	45.0899	15	0	0
0.488929	DL	48	8	0	1	12	1	0	1	1	12976	27	0	45.0758	15	0	0
0.489929	DL	48	9	0	1	12	1	0	0	1	12976	27	0	45.3764	15	0	0
0.489929	DL	48	9	0	1	12	1	0	1	1	12976	27	0	45.0131	15	0	0
0.490929	DL	49	0	0	1	12	1	0	0	1	12976	27	0	45.5452	15	0	0
0.490929	DL	49	0	0	1	12	1	0	1	1	12976	27	0	44.9748	15	0	0
0.491929	DL	49	1	0	1	12	1	0	0	1	12976	27	0	45.4899	15	0	0
0.491929	DL	49	1	0	1	12	1	0	1	1	12976	27	0	44.9909	15	0	0
0.492929	DL	49	2	0	1	12	1	0	0	1	12976	27	0	45.2924	15	0	0
0.492929	DL	49	2	0	1	12	1	0	1	1	12976	27	0	45.0342	15	0	0
0.493929	DL	49	3	0	1	12	1	0	0	1	12976	27	0	45.1557	15	0	0
0.493929	DL	49	3	0	1	12	1	0	1	1	12976	27	0	45.02	15	0	0
0.494929	DL	49	4	0	1	12	1	0	0	1	12976	27	0	45.2077	15	0	0
0.494929	DL	49	4	0	1	12	1	0	1	1	12976	27	0	44.8834	15	0	0
0.495929	DL	49	5	0	1	12	1	0	0	1	12976	27	0	45.3521	15	0	0
0.495929	DL	49	5	0	1	12	1	0	1	1	12976	27	0	44.6693	15	0	0
