Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	streamId	rnti	tbSize	mcs	rv	SINR(dB)	CQI	corrupt	TBler
0.403929	DL	40	3	0	1	12	1	0	0	1	416	0	0	37.9512	15	0	0
0.404929	DL	40	4	0	1	12	1	0	0	1	416	0	0	37.1206	15	0	0
0.405929	DL	40	5	0	1	12	1	0	0	1	416	0	0	36.3734	15	0	0
0.406929	DL	40	6	0	1	12	1	0	0	1	416	0	0	35.8599	15	0	0
0.407929	DL	40	7	0	1	12	1	0	0	1	416	0	0	35.7103	15	0	0
0.408929	DL	40	8	0	1	12	1	0	0	1	416	0	0	35.9512	15	0	0
0.409929	DL	40	9	0	1	12	1	0	0	1	12976	27	0	33.4807	14	1	1
0.409929	DL	40	9	0	1	12	1	0	1	1	416	0	0	52.323	15	0	0
0.410929	DL	41	0	0	1	12	1	0	0	1	12976	27	0	34.1827	14	1	1
0.410929	DL	41	0	0	1	12	1	0	1	1	416	0	0	52.4006	15	0	0
0.411929	DL	41	1	0	1	12	1	0	0	1	12976	27	0	34.9335	14	1	1
0.411929	DL	41	1	0	1	12	1	0	1	1	416	0	0	52.482	15	0	0
0.412929	DL	41	2	0	1	12	1	0	0	1	12976	27	0	35.6605	14	1	1
0.412929	DL	41	2	0	1	12	1	0	1	1	416	0	0	52.5564	15	0	0
0.413929	DL	41	3	0	1	12	1	0	0	1	12976	27	0	36.3218	14	1	0.935751
0.413929	DL	41	3	0	1	12	1	0	1	1	416	0	0	52.6104	15	0	0
0.414929	DL	41	4	0	1	12	1	0	0	1	12976	27	1	39.9023	15	0	0
0.415929	DL	41	5	0	1	12	1	0	0	1	12976	27	1	45.0975	15	0	0
0.416929	DL	41	6	0	1	12	1	0	0	1	12976	27	1	45.2092	15	0	0
0.417929	DL	41	7	0	1	12	1	0	0	1	12976	27	1	44.9266	15	0	0
0.418929	DL	41	8	0	1	12	1	0	0	1	12976	27	1	44.6801	15	0	0
0.419929	DL	41	9	0	1	12	1	0	0	1	12000	25	0	41.9179	15	0	0
0.419929	DL	41	9	0	1	12	1	0	1	1	12976	27	0	43.1055	15	0	0
0.420929	DL	42	0	0	1	12	1	0	0	1	12976	27	0	42.26	15	0	0
0.420929	DL	42	0	0	1	12	1	0	1	1	12976	27	0	42.6035	15	0	0
0.421929	DL	42	1	0	1	12	1	0	0	1	12976	27	0	42.1106	15	0	0
0.421929	DL	42	1	0	1	12	1	0	1	1	12976	27	0	42.4963	15	0	0
0.422929	DL	42	2	0	1	12	1	0	0	1	12976	27	0	41.601	15	0	0
0.422929	DL	42	2	0	1	12	1	0	1	1	12976	27	0	42.9783	15	0	0
0.423929	DL	42	3	0	1	12	1	0	0	1	12976	27	0	41.5178	15	0	0
0.423929	DL	42	3	0	1	12	1	0	1	1	12976	27	0	43.1966	15	0	0
0.424929	DL	42	4	0	1	12	1	0	0	1	12976	27	0	41.9962	15	0	0
0.424929	DL	42	4	0	1	12	1	0	1	1	12976	27	0	42.7812	15	0	0
0.425929	DL	42	5	0	1	12	1	0	0	1	12976	27	0	42.2097	15	0	0
0.425929	DL	42	5	0	1	12	1	0	1	1	12976	27	0	42.3514	15	0	0
0.426929	DL	42	6	0	1	12	1	0	0	1	12976	27	0	41.8135	15	0	0
0.426929	DL	42	6	0	1	12	1	0	1	1	12976	27	0	42.6466	15	0	0
0.427929	DL	42	7	0	1	12	1	0	0	1	12976	27	0	41.426	15	0	0
0.427929	DL	42	7	0	1	12	1	0	1	1	12976	27	0	43.1223	15	0	0
0.428929	DL	42	8	0	1	12	1	0	0	1	12976	27	0	41.7408	15	0	0
0.428929	DL	42	8	0	1	12	1	0	1	1	12976	27	0	43.014	15	0	0
0.429929	DL	42	9	0	1	12	1	0	0	1	12976	27	0	42.1745	15	0	0
