Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	streamId	rnti	tbSize	mcs	rv	SINR(dB)	CQI	corrupt	TBler
0.403929	DL	40	3	0	1	12	1	0	0	1	416	0	0	64.9451	15	0	0
0.404929	DL	40	4	0	1	12	1	0	0	1	416	0	0	65.2047	15	0	0
0.405929	DL	40	5	0	1	12	1	0	0	1	416	0	0	65.3617	15	0	0
0.406929	DL	40	6	0	1	12	1	0	0	1	416	0	0	65.4168	15	0	0
0.407929	DL	40	7	0	1	12	1	0	0	1	416	0	0	65.3751	15	0	0
0.408929	DL	40	8	0	1	12	1	0	0	1	416	0	0	65.2456	15	0	0
0.409929	DL	40	9	0	1	12	1	0	0	1	12976	27	0	62.0293	15	0	0
0.409929	DL	40	9	0	1	12	1	0	1	1	416	0	0	46.8454	15	0	0
0.410929	DL	41	0	0	1	12	1	0	0	1	12976	27	0	61.7589	15	0	0
0.410929	DL	41	0	0	1	12	1	0	1	1	416	0	0	46.9353	15	0	0
0.411929	DL	41	1	0	1	12	1	0	0	1	12976	27	0	61.4351	15	0	0
0.411929	DL	41	1	0	1	12	1	0	1	1	416	0	0	46.67	15	0	0
0.412929	DL	41	2	0	1	12	1	0	0	1	12976	27	0	61.066	15	0	0
0.412929	DL	41	2	0	1	12	1	0	1	1	416	0	0	46.5539	15	0	0
0.413929	DL	41	3	0	1	12	1	0	0	1	12976	27	0	60.6537	15	0	0
0.413929	DL	41	3	0	1	12	1	0	1	1	416	0	0	47.1956	15	0	0
0.414929	DL	41	4	0	1	12	1	0	0	1	12976	27	0	60.1933	15	0	0
0.414929	DL	41	4	0	1	12	1	0	1	1	416	0	0	48.0208	15	0	0
0.415929	DL	41	5	0	1	12	1	0	0	1	12976	27	0	52.1321	15	0	0
0.415929	DL	41	5	0	1	12	1	0	1	1	12976	27	0	51.0099	15	0	0
0.416929	DL	41	6	0	1	12	1	0	0	1	12976	27	0	52.0361	15	0	0
0.416929	DL	41	6	0	1	12	1	0	1	1	12976	27	0	51.0434	15	0	0
0.417929	DL	41	7	0	1	12	1	0	0	1	12976	27	0	51.7854	15	0	0
0.417929	DL	41	7	0	1	12	1	0	1	1	12976	27	0	51.1708	15	0	0
0.418929	DL	41	8	0	1	12	1	0	0	1	12976	27	0	51.5929	15	0	0
0.418929	DL	41	8	0	1	12	1	0	1	1	12976	27	0	51.2468	15	0	0
0.419929	DL	41	9	0	1	12	1	0	0	1	12976	27	0	51.6269	15	0	0
0.419929	DL	41	9	0	1	12	1	0	1	1	12976	27	0	51.1295	15	0	0
0.420929	DL	42	0	0	1	12	1	0	0	1	12976	27	0	51.8218	15	0	0
0.420929	DL	42	0	0	1	12	1	0	1	1	12976	27	0	50.8133	15	0	0
0.421929	DL	42	1	0	1	12	1	0	0	1	12976	27	0	51.9588	15	0	0
0.421929	DL	42	1	0	1	12	1	0	1	1	12976	27	0	50.4722	15	0	0
0.422929	DL	42	2	0	1	12	1	0	0	1	12976	27	0	51.8873	15	0	0
0.422929	DL	42	2	0	1	12	1	0	1	1	12976	27	0	50.3607	15	0	0
0.423929	DL	42	3	0	1	12	1	0	0	1	12976	27	0	51.6327	15	0	0
0.423929	DL	42	3	0	1	12	1	0	1	1	12976	27	0	50.5557	15	0	0
0.424929	DL	42	4	0	1	12	1	0	0	1	12976	27	0	51.3832	15	0	0
